Date,Open,High,Low,Close,Volume,Market Cap
Mar-25-2021,52382.79787,53139.13024,50572.98433,51412.19201,1.3146E+11,9.72877E+11
Mar-24-2021,54464.9413,57028.63,52075.59068,52584.7854,99933043546,1.02927E+12
Mar-23-2021,54185.29358,55799.02,53213.99895,54599.96181,1.0945E+11,1.02068E+12
Mar-22-2021,57384.45758,58200.01,53833.72378,54249.99078,92548643675,1.05967E+12
Mar-21-2021,58057.69,58549.97,55928.75215,57392.2057,95572143442,1.06886E+12
Mar-20-2021,58098.07839,59869.85,58016.57963,58219.82,87958442364,1.09642E+12
Mar-19-2021,57666.27321,59448.83114,56348.06484,58091.62367,1.01632E+11,1.08732E+12
Mar-18-2021,58891.032,60024.60188,57287.61193,57687.52056,1.13184E+11,1.09099E+12
Mar-17-2021,56857.30607,58863.67749,54376.49473,58711.97874,1.0348E+11,1.0471E+12
Mar-16-2021,55571.19384,56788.88401,53393.03365,56455.99844,1.29824E+11,1.03248E+12
Mar-15-2021,59150.40303,60550.87471,55338.28094,55723.94916,1.27943E+11,1.07286E+12
Mar-14-2021,61219.34843,61617.99661,59380.01894,59380.01894,1.2235E+11,1.12796E+12
Mar-13-2021,57250.13788,61662.20596,56089.27398,61297.99739,1.33875E+11,1.09678E+12
Mar-12-2021,57716.88167,58031.00081,55195.34972,57278.15502,1.32357E+11,1.05996E+12
Mar-11-2021,55865.29983,58131.33583,54483.02539,57633.69981,1.38623E+11,1.04941E+12
Mar-10-2021,54854.79161,57286.43245,53174.3772,55998.73927,1.20454E+11,1.03224E+12
Mar-09-2021,52265.0162,54839.97917,51976.01916,54759.46169,1.17158E+11,1.00605E+12
Mar-08-2021,50934.4446,52326.86244,49375.17428,52326.86244,1.01648E+11,9.46662E+11
Mar-07-2021,48872.69398,51409.22675,48872.69398,51409.22675,86479140579,9.35917E+11
Mar-06-2021,48819.98456,49081.95351,47155.95754,48884.80043,97560333723,9.01645E+11
Mar-05-2021,48450.01622,49389.9809,46414.58864,48901.91568,1.17859E+11,8.89474E+11
Mar-04-2021,50451.11924,51738.86485,47633.15424,48523.77958,1.19186E+11,9.20925E+11
Mar-03-2021,48466.45634,52513.11529,48144.56479,50593.57978,1.08365E+11,9.39513E+11
